season_num	episode_num	aired_date	cnt_kirk_hookups	cnt_downed_redshirts	bool_aliens_almost_took_over_planet	bool_aliens_almost_took_over_enterprise	cnt_vulcan_nerve_pinch	cnt_warp_speed_orders	highest_warp_speed_issued	bool_hand_phasers_fired	bool_ship_phasers_fired	bool_ship_photon_torpedos_fired	cnt_transporter_pax	cnt_damn_it_jim_quote	cnt_im_givin_her_all_shes_got_quote	cnt_highly_illogical_quote	bool_enterprise_saved_the_day
1	0	28/02/1965	0	0	0	1	0	1	1	1	0	0	6	0	0	0	0
1	1	08/09/1966	0	1	0	1	0	0	0	0	0	0	5	0	0	0	1
1	2	15/09/1966	0	0	0	1	0	1	1	1	0	0	5	0	0	0	0
1	3	22/09/1966	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1
1	4	29/09/1966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	5	06/10/1966	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0
1	6	13/10/1966	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0
1	7	20/10/1966	2	2	1	0	0	0	0	1	0	0	2	0	0	0	0
1	8	27/10/1966	0	0	0	0	0	1	1	1	0	0	6	0	0	0	0
1	9	03/11/1966	2	3	0	1	1	1	1	0	0	0	3	0	0	0	0
1	10	10/11/1966	0	0	0	1	0	5	1	0	1	0	3	0	0	0	0
1	11	17/11/1966	0	0	0	0	2	1	7	1	0	0	11	0	0	0	0
1	12	24/11/1966	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0
1	13	08/12/1966	1	0	0	0	0	1	1	1	0	0	2	0	0	0	0
1	14	15/12/1966	0	0	0	0	0	3	7	0	1	0	0	0	0	0	1
1	15	29/12/1966	1	1	0	0	0	1	1	1	0	0	3	0	0	2	0
1	16	05/01/1967	0	0	0	0	0	1	1	1	0	0	5	0	0	3	0
1	17	12/01/1967	0	0	1	0	0	2	7	1	0	0	8	0	0	0	0
1	18	19/01/1967	0	1	0	1	0	2	8	0	1	1	6	0	0	0	0
1	19	26/01/1967	0	0	0	0	2	1	3	0	0	0	9	0	0	0	1
1	20	02/02/1967	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0
1	21	09/02/1967	0	0	0	1	0	0	0	1	0	0	7	0	0	1	0
1	22	16/02/1967	0	4	0	1	1	0	2	0	0	0	4	0	0	2	0
1	23	23/02/1967	0	0	0	0	1	0	0	1	0	0	7	0	0	0	0
1	24	02/03/1967	0	0	0	1	0	0	0	0	0	0	14	0	0	0	0
1	25	09/03/1967	0	4	1	0	0	1	2	1	0	0	3	0	0	0	0
1	26	23/03/1967	0	0	1	0	1	1	7	1	1	0	2	0	0	0	0
1	27	30/03/1967	0	2	1	1	0	1	1	0	1	0	8	0	0	1	1
1	28	06/04/1967	1	1	0	0	2	0	0	1	0	0	12	0	0	0	0
1	29	13/04/1967	0	1	1	1	2	2	8	1	0	0	8	0	0	0	1
